X,Y,FID,GISDBID,Mode,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,Weekday_On,Weekday_Of,Saturday_O,Saturday_1,Sunday_Ons,Sunday_Off
-8361962.03358883,4886566.36645724,3351,2230429N,Bus,22,Northbound,30429,Easton Rd & Moreland Rd - FS,40.141777,-75.116783,Fall 2023,1,1,2,0,0,2
-8365948.60719312,4880698.59799442,3352,2215542N,Bus,22,Northbound,15542,Easton Rd & Mt Carmel Av,40.10147,-75.152595,Fall 2023,9,12,8,10,5,8
-8365519.69319509,4881285.55308926,3353,2215545N,Bus,22,Northbound,15545,Easton Rd & Oakdale Av,40.105503,-75.148742,Fall 2023,0,1,0,1,0,1
-8362444.38094244,4885884.742363,3354,2215572N,Bus,22,Northbound,15572,Easton Rd & Old Welsh Rd,40.137096,-75.121116,Fall 2023,0,23,0,16,0,8
-8361907.59835783,4886668.44665699,3355,2230430N,Bus,22,Northbound,30430,Easton Rd & Old York Rd - MBNS,40.142478,-75.116294,Fall 2023,12,2,8,1,4,5
-8363148.4767217,4884951.57159589,3356,2215567N,Bus,22,Northbound,15567,Easton Rd & Patane Av,40.130687,-75.127441,Fall 2023,1,5,0,3,0,4
-8363288.62796061,4884766.6660064,3357,2215566N,Bus,22,Northbound,15566,Easton Rd & Pershing Av - FS,40.129417,-75.1287,Fall 2023,2,0,0,0,1,1
-8364779.08462284,4882263.20964917,3358,2215550N,Bus,22,Northbound,15550,Easton Rd & Pleasant Av,40.11222,-75.142089,Fall 2023,0,0,0,0,0,0
-8365619.10150037,4881157.76768806,3359,2215544N,Bus,22,Northbound,15544,Easton Rd & Rosemore Av,40.104625,-75.149635,Fall 2023,6,7,2,1,1,2
-8366627.21080899,4879801.5684626,3360,2216938N,Bus,22,Northbound,16938,Easton Rd & Royal Av - FS,40.095306,-75.158691,Fall 2023,4,23,2,12,2,10
-8362669.46895282,4885586.97430376,3361,2215571N,Bus,22,Northbound,15571,Easton Rd & Rubicam Av - FS,40.135051,-75.123138,Fall 2023,1,5,0,2,0,5
-8363808.37866313,4883544.33769487,3362,2215560N,Bus,22,Northbound,15560,Easton Rd & Susquehanna Rd,40.121021,-75.133369,Fall 2023,6,22,6,12,5,6
-8366410.58307991,4880079.66221087,3363,2215538N,Bus,22,Northbound,15538,Easton Rd & Toxony Av,40.097217,-75.156745,Fall 2023,0,3,1,3,1,2
-8363939.17906481,4883369.93964876,3364,2228396N,Bus,22,Northbound,28396,Easton Rd & Tyson Av,40.119823,-75.134544,Fall 2023,2,8,0,3,0,6
-8366263.75267155,4880273.93955717,3365,2215539N,Bus,22,Northbound,15539,Easton Rd & Waverly Rd,40.098552,-75.155426,Fall 2023,10,13,6,12,2,2
-8366158.33311377,4880408.26237807,3366,2215540N,Bus,22,Northbound,15540,Easton Rd & Wesley Av,40.099475,-75.154479,Fall 2023,1,5,3,5,0,0
-8363468.63157723,4884529.4968868,3367,2215565N,Bus,22,Northbound,15565,Easton Rd & Woodland Rd,40.127788,-75.130317,Fall 2023,8,22,2,10,2,8
-8358646.27123606,4894004.37817537,3368,2230778N,Bus,22,Northbound,30778,Jacksonville Rd & Liberty Ln,40.192836,-75.086997,Fall 2023,0,2,2,3,0,0
-8358466.26761945,4894250.66435841,3369,2228402N,Bus,22,Northbound,28402,Jacksonville Rd & Steamboat Dr - FS,40.194526,-75.08538,Fall 2023,0,3,0,1,0,0
-8358850.20854319,4893739.73666793,3370,2230779N,Bus,22,Northbound,30779,Jacksonville Rd & Van Horn Dr,40.19102,-75.088829,Fall 2023,2,11,3,7,3,7
